"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.686754583E0,7.132049929E-2,-3.236894332E-2,-2.575932384E-2,8.244940798E-2
1.696724583E0,9.102846656E-2,7.318304761E-2,1.586963564E-1,1.970443446E-1
1.706694583E0,2.097717851E-2,1.521977244E-2,8.449939978E-1,8.453913531E-1
1.716664583E0,-1.637461580E-2,-1.944504721E-1,1.238855428E-1,2.311422546E-1
1.726634583E0,5.633269686E-2,-3.090143106E-1,-1.739102268E-1,3.590375801E-1
1.736604583E0,1.023545598E-1,-2.551164309E-1,2.044870716E-1,3.426015349E-1
1.746574583E0,3.420177134E-2,-1.954537813E-1,4.854598171E-1,5.244455889E-1
1.756544583E0,-6.093831109E-2,-1.918610510E-1,-4.599887609E-2,2.064946422E-1
1.766514583E0,-2.418168475E-1,-1.689244522E-1,-4.499537694E-1,5.380234688E-1
1.776483583E0,-9.798151860E-2,-4.873309352E-2,-8.448758841E-2,1.382513833E-1
1.786453583E0,1.498782801E-1,8.299459325E-2,6.640712053E-1,6.858149656E-1
1.796423583E0,-3.452880245E-1,-3.566606945E-2,-3.282252645E-1,4.777318418E-1
1.806393583E0,-2.998248448E-1,-6.952256271E-2,-1.194253451E0,1.233275975E0
1.816363583E0,-3.651599331E-1,2.935297689E-2,-4.041186154E-2,3.685600257E-1
1.826333583E0,-3.508420754E-2,2.771466016E-1,9.213171190E-1,9.627389959E-1
1.836303583E0,-1.099368088E-1,3.423120476E-1,6.379370749E-2,3.651482945E-1
1.846273583E0,-5.948873151E-2,-1.266822660E-1,-1.496835752E0,1.503364418E0
1.856243583E0,5.210961845E-2,-3.002477995E-1,-6.152703434E-1,6.866015940E-1
1.866213583E0,1.128419614E-1,3.128874789E-2,3.764677173E-1,3.942590977E-1
1.876182583E0,-9.603485260E-3,2.555610568E-1,2.596099430E-1,3.644187196E-1
1.886152583E0,1.623543380E-2,1.755654274E-1,-1.205113485E0,1.217943069E0
1.896122583E0,-1.466679029E-2,1.562382783E-1,-2.284197253E-1,2.771300872E-1
1.906092583E0,6.727934238E-2,1.771198549E-1,1.226284499E0,1.240835051E0
1.916062583E0,1.026422428E-1,2.222302465E-1,2.472366500E-1,3.479190618E-1
1.926032583E0,1.066790143E-1,4.194664601E-3,-6.700646013E-1,6.785164532E-1
1.936002583E0,2.843011998E-1,-1.716409224E-1,-1.049013877E-1,3.482701245E-1
1.945972583E0,5.369060323E-1,5.013420973E-3,9.117844033E-1,1.058132326E0
1.955942583E0,2.396879677E-1,1.109117224E-2,4.047717494E-1,4.705459649E-1
1.965912583E0,9.337747581E-3,-2.251058341E-2,-2.830917764E-1,2.841388283E-1
1.975881583E0,-1.298380814E-1,1.971862382E-1,3.814168006E-1,4.485745375E-1
1.985851583E0,-1.658328831E-1,4.095218995E-2,7.319076777E-1,7.515759946E-1
1.995821583E0,-2.556810161E-1,-3.927934358E-1,1.202655315E-1,4.838628558E-1
2.005791583E0,-2.062266183E-1,-4.402121985E-1,-4.108663023E-2,4.878568530E-1
2.015761583E0,1.748491983E-1,-2.225045175E-1,-3.433461642E-1,4.449349289E-1
2.025731583E0,7.632694015E-2,-8.382709972E-2,-1.355139005E-1,1.766827713E-1
2.035701583E0,1.195854273E-2,8.826330001E-2,4.235220158E-1,4.327866850E-1
2.045671583E0,6.917995790E-1,2.124817869E-1,-2.899944144E-1,7.796357660E-1
2.055641583E0,-1.448174967E-1,-7.692856383E-1,-1.368273021E0,1.576370375E0
2.065611583E0,-1.383666474E-1,-6.500606918E-1,9.494416416E-2,6.713707072E-1
2.075580583E0,-4.700066493E-1,-2.346143204E-1,6.735384321E-1,8.541686890E-1
2.085550583E0,-2.954792489E-1,-5.144139133E-2,-4.121234536E-2,3.027419044E-1
2.095520583E0,-5.143745908E-1,-6.584809016E-2,-4.095208579E-1,6.607756985E-1
2.105490583E0,-1.524591680E-1,1.857692207E-1,-1.679507446E-1,2.931918380E-1
2.115460583E0,1.624756312E-1,1.815651823E-1,4.225057697E-1,4.877246883E-1
2.125430583E0,7.009839468E-2,1.173410832E-1,4.601752871E-1,4.800458412E-1
2.135400583E0,1.304925310E-1,-2.312437477E-1,-8.935773432E-1,9.321922762E-1
